gene,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9,level 10,level 11,level 12,level 13,level 14,level 15,level 16,level 17,level 18,level 19,level 20,level 21,level 22,level 23,level 24,level 25,level 26,level 27,level 28,level 29,level 30,level 31,level 32,level 33,level 34,level 35,level 36,level 37,level 38,level 39,level 40,level 41,level 42,level 43,level 44,level 45,level 46,level 47,level 48,level 49,level 50,level 51,level 52
YML075C,0.66,0.59,-0.43,0.46,0.2,0.64,-0.07,0.3,0.45899999999999996,-1.17,-1.89,-1.75,-2.14,-1.36,-1.56,-1.59,-1.47,-1.28,-1.32,-1.77,-1.46,-0.91,-1.35,0.255,0.198,0.5,1.24,0.87,0.1,0.91,0.5,0.72,0.3,0.39,-1.09,0.24,0.5,0.14,0.57,0.3,0.215,0.36,0.44,0.17,-0.33,-0.248,-1.76,-0.03,-0.25,-0.01,0.03,0.24
YLR216C,3.173,3.252,3.1310000000000002,0.19699999999999998,0.171,-0.159,0.021,-0.10099999999999999,-1.273,1.129,1.193,1.1520000000000001,0.902,0.79,0.738,0.64,0.34700000000000003,1.133,1.0290000000000001,0.7340000000000001,0.68,0.255,0.591,-0.171,-0.149,0.596,-0.209,0.064,-0.16399999999999998,0.245,-0.152,0.11599999999999999,-0.332,0.028999999999999998,0.258,0.134,0.003,0.298,-0.17600000000000002,-0.149,-0.308,0.457,0.551,0.612,0.445,0.5579999999999999,0.8029999999999999,-0.124,-0.10400000000000001,0.595,0.114,0.612
YLR001C,0.8420000000000001,1.137,0.405,-0.478,0.701,0.657,0.6509999999999999,0.21899999999999997,0.4,0.102,0.121,0.132,0.18,0.157,0.20600000000000002,0.45899999999999996,0.244,0.49700000000000005,0.738,0.568,0.845,0.879,0.225,0.377,-0.008,0.34600000000000003,0.375,0.13699999999999998,0.53,0.348,0.075,0.133,-0.379,0.094,0.517,0.10800000000000001,0.34,0.005,0.133,0.062,-0.052000000000000005,-0.44799999999999995,-0.196,-0.188,-0.39799999999999996,0.021,-0.10800000000000001,0.113,-0.205,0.256,0.092,0.035
YGR141W,0.637,0.455,1.147,-0.151,0.514,0.8320000000000001,0.46,0.863,0.23600000000000002,0.304,-0.092,0.003,0.212,0.094,0.21,0.52,0.52,0.473,0.655,0.99,1.015,1.169,0.56,0.175,-0.13,-1.23,0.611,0.382,0.35700000000000004,0.44,-0.005,0.083,0.5670000000000001,0.28600000000000003,0.39,0.956,1.4040000000000001,1.013,0.182,0.774,0.256,-0.046,-0.28600000000000003,0.04,-0.077,-0.52,-0.21,-0.11900000000000001,-0.1,-0.1,0.071,0.47600000000000003
YBR256C,0.59,0.44,0.23,0.486,1.1179999999999999,0.657,1.165,0.86,-0.23199999999999998,1.12,1.4,0.92,0.9,0.85,1.074,0.8270000000000001,0.82,1.03,1.03,0.67,0.5,0.46,0.62,-0.16,-0.344,-0.552,0.446,0.33,0.893,0.493,-0.062,0.121,0.8079999999999999,0.9540000000000001,0.077,-0.19399999999999998,-0.42700000000000005,-0.17800000000000002,-0.16899999999999998,-0.354,-0.043,0.718,0.389,0.537,0.23,0.467,1.06,-0.13699999999999998,-0.36,0.519,0.214,0.16899999999999998
YDR120C,-2.1630000000000003,-1.274,-1.537,0.015,-1.9469999999999998,-1.175,-1.649,-0.5429999999999999,-0.755,-0.314,-0.023,0.114,0.064,-0.179,-0.153,-0.281,-0.39799999999999996,-1.021,-0.972,-1.131,-0.769,-1.3730000000000002,-0.7759999999999999,-1.047,0.732,0.297,-0.828,-0.322,0.13699999999999998,-0.026000000000000002,-0.242,-0.535,0.405,0.759,0.177,0.39,0.152,-0.39899999999999997,0.63,0.223,0.122,0.32899999999999996,0.49700000000000005,0.111,-0.079,0.732,0.523,0.7390000000000001,-0.179,-0.397,-0.611,-0.413
YMR053C,0.6970000000000001,0.258,0.162,-0.37,-0.44799999999999995,0.387,0.636,0.214,0.059000000000000004,-0.226,-0.066,0.109,-0.154,0.006,0.17600000000000002,0.063,0.16699999999999998,0.505,0.475,0.512,0.711,0.643,0.409,0.162,0.37,0.9109999999999999,0.03,0.631,0.718,0.331,0.301,0.069,0.10099999999999999,0.225,0.08199999999999999,0.434,-0.125,-0.07,0.11900000000000001,-0.055999999999999994,0.038,0.11599999999999999,-0.413,0.147,0.263,0.054000000000000006,-0.139,-0.21899999999999997,0.092,0.09699999999999999,0.20199999999999999,-0.13699999999999998
YFL021W,0.008,0.064,-0.174,-0.44299999999999995,0.5579999999999999,-0.06,-0.10800000000000001,-0.626,0.883,-0.091,-0.54,-0.858,-1.024,-0.875,-0.45899999999999996,-1.141,-1.0,-0.17600000000000002,-0.40700000000000003,-0.823,-1.137,-0.9890000000000001,-0.094,-0.153,-0.5920000000000001,-0.812,-1.028,-1.128,-0.965,-1.24,-0.845,-0.8390000000000001,-1.274,-0.732,-0.01,0.319,-0.397,-0.191,-0.29100000000000004,-0.032,-0.125,-1.015,-0.747,-0.5329999999999999,-0.726,-0.6990000000000001,-0.593,0.191,-0.09,0.040999999999999995,0.096,-0.14800000000000002
YNR043W,-0.636,-0.096,-0.812,0.085,-0.59,-0.419,-0.8320000000000001,-0.7440000000000001,0.076,-1.8430000000000002,-2.101,-2.33,-2.51,-2.2880000000000003,-1.5719999999999998,-1.7919999999999998,-2.075,-1.5730000000000002,-1.8219999999999998,-1.682,-2.024,-1.669,-0.742,0.02,0.040999999999999995,-0.027000000000000003,0.45899999999999996,0.551,0.094,-0.12,-0.13,-0.401,0.249,0.6709999999999999,0.237,1.061,-0.193,0.129,-0.038,-0.032,0.818,0.18600000000000003,-0.035,-0.317,-0.08199999999999999,-0.158,-1.364,-0.037000000000000005,0.02,0.057,0.155,0.26899999999999996
YFL062W,0.845,0.943,0.318,0.315,0.868,0.735,0.539,0.12,-0.765,0.35700000000000004,0.431,0.299,0.498,0.688,0.33399999999999996,0.669,1.0,0.222,0.316,0.518,0.833,0.762,0.242,0.001,0.365,0.595,0.29600000000000004,0.287,0.5529999999999999,0.598,0.532,0.511,-0.445,-0.691,0.29,-0.023,0.168,0.237,-0.315,-0.001,-0.079,-0.12,0.057999999999999996,0.19,-0.024,0.2,0.289,-0.004,0.29,0.087,0.145,0.804
YEL039C,2.524,2.2030000000000003,3.1719999999999997,-0.802,0.7929999999999999,0.5670000000000001,0.142,0.332,0.10300000000000001,-0.968,-1.168,-0.52,-1.26,-0.953,-1.4509999999999998,-1.431,-0.253,-0.785,-0.7,-0.516,-0.64,0.249,-0.295,0.8,-0.019,0.91,1.0,0.488,0.457,0.34700000000000003,0.136,-0.003,-0.215,0.023,-0.19,-0.068,-0.19899999999999998,0.452,-0.384,-0.569,-0.5770000000000001,-0.26899999999999996,-0.42700000000000005,-0.091,0.08800000000000001,-0.115,-0.818,-0.018000000000000002,0.5,-0.012,-0.091,-0.098
YGR272C,-1.6669999999999998,-0.733,-1.1420000000000001,0.517,-1.681,-0.737,-1.506,-0.752,-1.995,0.013000000000000001,0.253,0.341,0.389,0.292,-0.02,-0.01,-0.12,-1.114,-0.691,-1.067,-1.3869999999999998,-1.0959999999999999,-0.875,-1.251,0.32799999999999996,0.009000000000000001,-0.451,-0.018000000000000002,-0.013999999999999999,0.053,-0.605,-0.637,0.205,0.47100000000000003,-0.1,-0.655,-1.236,-1.268,-0.5720000000000001,-0.773,-0.28,0.23800000000000002,0.13699999999999998,0.105,0.131,0.73,0.35200000000000004,-0.08800000000000001,-0.212,-0.11,0.32799999999999996,-0.5770000000000001
YBR046C,1.6580000000000001,1.304,0.94,-0.31,1.21,1.05,1.09,1.6980000000000002,0.161,-0.25,0.41,0.31,0.03,0.37200000000000005,0.9159999999999999,0.561,0.5429999999999999,1.44,1.55,1.24,0.67,0.972,0.72,0.371,0.154,0.474,1.05,0.8,0.23,0.83,-0.46,-0.27,1.38,1.156,0.545,0.43,0.16399999999999998,0.27699999999999997,0.441,0.162,-0.225,0.623,0.29,-0.05,0.46,-0.253,-0.07,-0.19,0.126,-0.162,-0.006999999999999999,0.442
YKR011C,2.234,2.1719999999999997,2.207,-0.38799999999999996,0.249,0.856,1.023,0.8340000000000001,-0.439,1.261,1.19,1.27,1.117,0.909,1.235,1.385,1.151,1.815,2.004,1.849,2.165,1.689,1.315,0.705,0.205,0.767,1.3319999999999999,0.983,0.603,0.917,-0.545,0.02,0.237,0.265,-0.278,-0.44,-0.163,-0.183,-0.26899999999999996,-0.282,-0.716,0.158,0.525,0.18100000000000002,0.157,0.4,0.785,-0.059000000000000004,0.424,0.09,0.187,0.667
YLR340W,-1.992,-1.531,-1.7280000000000002,0.45899999999999996,-0.345,-0.36700000000000005,-0.616,-0.9059999999999999,-0.16899999999999998,-0.305,-0.516,-0.818,-0.209,0.027999999999999997,-0.299,0.15,0.183,-0.299,-0.561,-0.25,-0.33,-0.20800000000000002,0.019,-0.447,-0.32,0.065,-0.7,-0.542,-0.386,0.094,0.688,0.395,-0.8909999999999999,-0.935,0.212,0.135,0.08,0.249,-0.268,-0.037000000000000005,0.327,-0.515,-0.299,0.247,0.18100000000000002,-0.589,-0.33799999999999997,-0.092,-0.17300000000000001,0.37799999999999995,0.13699999999999998,-0.247
YMR251W-A,2.8280000000000003,2.719,1.669,-0.545,2.006,1.821,1.26,0.873,0.611,-0.026000000000000002,-0.585,-0.385,-0.917,-0.48,0.06,-0.354,0.024,0.63,0.516,0.365,0.153,0.831,0.39,0.833,-0.37799999999999995,0.38799999999999996,1.8130000000000002,1.577,0.782,0.711,0.342,0.591,0.915,1.046,-0.401,0.29,-0.505,0.23399999999999999,-0.425,-0.762,-1.719,0.603,0.301,-0.013000000000000001,0.40299999999999997,0.256,-0.17600000000000002,-0.142,-0.33799999999999997,0.657,-0.027999999999999997,-0.28
YHR065C,-1.367,-0.7090000000000001,-0.804,0.168,-1.2229999999999999,-0.515,-1.151,-0.35700000000000004,-0.58,0.1,0.622,0.294,0.517,0.552,-0.03,0.23,0.21,-0.35,-0.195,-0.424,-0.484,-0.303,-0.253,-0.589,0.402,-0.013999999999999999,-0.263,0.08900000000000001,-0.028999999999999998,-0.04,-0.218,-0.064,0.13699999999999998,0.503,-0.111,0.17600000000000002,-0.447,-0.145,0.392,0.205,0.179,0.091,0.341,-0.09699999999999999,-0.057999999999999996,0.7,0.544,-0.016,0.311,-0.2,0.23399999999999999,-0.389
YBR126C,2.56,2.6,1.56,-1.18,1.42,0.47,0.047,-0.335,0.742,0.55,0.23,0.3,0.04,0.18,0.6679999999999999,-0.024,0.341,1.42,1.38,1.73,1.75,1.98,1.09,0.012,-0.821,0.547,0.3,0.15,-0.16,-0.6729999999999999,-0.29,-0.33,-0.43700000000000006,-0.628,0.33,0.312,0.25,0.165,-0.287,0.016,-0.021,-0.895,-0.688,-0.491,-0.09300000000000001,-0.353,-0.256,-0.13,-0.059000000000000004,0.318,0.07200000000000001,0.131
YPR102C,-2.43,-1.124,-1.8659999999999999,0.7040000000000001,-0.324,-0.6509999999999999,-0.23399999999999999,-0.733,-1.3119999999999998,-0.155,0.226,0.125,0.154,0.31,0.17800000000000002,-0.057,-0.33299999999999996,-0.34,-0.29100000000000004,-0.41700000000000004,-0.81,-0.675,-0.071,-0.503,-0.653,-0.546,-0.626,-0.672,-0.564,-0.511,-0.452,-0.063,-0.441,-0.473,-0.032,-0.201,-0.348,-0.079,-0.8059999999999999,-0.289,0.125,0.018000000000000002,0.309,0.07400000000000001,0.141,0.813,0.337,-0.122,0.136,0.435,0.214,-0.537
YCR004C,0.3,0.22,0.03,-0.268,0.932,0.8859999999999999,0.28,0.597,0.48100000000000004,0.01,0.21,0.22,-0.01,0.07,0.057999999999999996,0.11900000000000001,0.052000000000000005,0.47,0.7,0.59,0.86,0.92,0.4,0.192,-0.479,0.078,0.905,0.992,0.723,0.049,0.028999999999999998,0.198,0.35,0.155,-0.043,0.47700000000000004,-0.042,-0.10400000000000001,-0.043,-0.41100000000000003,0.023,-0.16899999999999998,-0.441,-0.39299999999999996,-0.21100000000000002,0.033,-0.25,0.207,0.022000000000000002,0.336,0.203,-0.157
YGR130C,1.547,0.978,0.363,-0.963,1.04,1.207,1.06,0.8390000000000001,1.311,0.45799999999999996,0.629,0.675,0.47100000000000003,0.41700000000000004,0.23,-0.01,0.16,0.9309999999999999,0.856,0.9590000000000001,0.982,0.73,0.777,0.762,0.532,0.275,0.924,0.737,0.555,0.324,-0.019,0.369,0.414,0.262,-0.23,0.22899999999999998,0.24600000000000002,0.146,0.083,0.516,-0.07400000000000001,-0.042,-0.11699999999999999,-0.076,0.125,-0.11,0.174,-0.042,-0.48,0.2,0.21,0.159
YNR068C,0.07,-0.076,0.19699999999999998,0.15,0.26,0.05,-0.08,-0.08,-0.02,1.455,0.49,0.61,0.39,0.335,0.71,1.01,1.429,0.92,0.22,1.074,0.77,0.126,0.88,0.12,-0.35,0.8490000000000001,0.27,1.26,0.15,0.86,0.25,0.21,-0.22,-0.09,-0.32799999999999996,0.12,-0.01,-0.07,0.018000000000000002,-0.11,0.252,-0.16,-0.05,0.2,0.076,0.2,0.6829999999999999,-0.08,0.28,0.64,0.12,0.09
YGL001C,-0.738,-0.359,-0.386,0.2,-0.13699999999999998,-0.03,-0.597,-0.449,0.162,-0.841,-0.8009999999999999,-0.9990000000000001,-1.161,-0.99,-1.1520000000000001,-1.5419999999999998,-1.3130000000000002,-0.963,-0.968,-1.032,-1.189,-0.8240000000000001,-0.466,-0.26,-0.441,-0.264,0.29,0.467,0.561,0.3,0.124,0.16899999999999998,-0.129,0.502,0.267,0.703,0.078,0.35100000000000003,0.14300000000000002,-0.344,-0.09300000000000001,0.095,0.28,0.001,-0.171,-0.043,-0.518,-0.004,-0.135,0.13699999999999998,0.212,-0.915
YOR301W,-1.124,-3.556,-0.667,-0.212,-0.9890000000000001,-0.465,-0.6759999999999999,-0.278,0.65,-0.095,-0.527,-0.649,-0.799,-0.591,-0.42700000000000005,-0.667,-0.6779999999999999,-0.16399999999999998,-0.115,-0.28,-0.40700000000000003,-0.302,0.10400000000000001,-0.196,-0.431,0.013000000000000001,-0.583,-0.44799999999999995,-0.77,-0.9470000000000001,-0.48700000000000004,-0.6779999999999999,-0.364,-0.785,0.16899999999999998,0.149,-0.41600000000000004,0.084,-0.34700000000000003,-0.09699999999999999,0.401,-0.703,-0.589,-0.593,-0.6779999999999999,-0.593,-0.6829999999999999,-0.036000000000000004,-0.375,-0.157,0.201,0.12300000000000001
YER070W,2.594,2.116,-2.1319999999999997,0.015,2.095,1.9,1.6,1.214,0.789,1.147,0.912,0.789,0.442,0.909,0.8290000000000001,1.192,1.219,1.743,1.6059999999999999,1.7180000000000002,1.9080000000000001,1.689,1.28,1.7309999999999999,0.667,1.09,1.3880000000000001,0.893,0.369,0.187,0.69,1.3719999999999999,0.34,-0.184,-1.05,0.128,0.731,1.151,0.58,0.57,0.747,-0.21,0.027999999999999997,0.289,0.258,-0.168,0.133,0.772,-0.03,0.22899999999999998,-0.581,-0.932
YNL175C,-3.0,-1.712,-2.194,0.431,-1.975,-1.208,-1.598,-0.564,-0.755,-0.244,0.084,0.21100000000000002,0.41100000000000003,0.191,-0.276,0.022000000000000002,0.187,-1.122,-0.84,-0.736,-0.5379999999999999,-0.532,-0.779,-0.9670000000000001,0.424,-0.051,-0.6859999999999999,-0.499,-0.094,0.757,0.442,0.313,0.591,0.884,-0.377,0.47200000000000003,0.26899999999999996,-0.43200000000000005,0.6759999999999999,0.66,0.449,0.628,0.779,0.457,0.414,0.662,0.579,-0.256,0.02,-0.542,-0.002,-0.11
YDL055C,-0.244,-0.095,-0.875,-0.252,0.166,-0.37200000000000005,-0.214,-0.951,-0.299,-0.067,-0.136,-0.092,-0.469,-0.823,0.15,-0.384,-0.6890000000000001,0.151,0.19699999999999998,0.028999999999999998,-0.32899999999999996,-0.353,0.221,-0.28600000000000003,-0.077,-1.105,-0.7879999999999999,-1.165,-1.4480000000000002,-1.3159999999999998,-0.975,-0.508,-0.691,-0.6809999999999999,0.345,0.365,0.261,0.431,-0.40700000000000003,-0.134,-0.35100000000000003,-0.7390000000000001,-0.435,-0.289,-0.395,0.256,-0.011000000000000001,0.762,-0.5920000000000001,0.147,-0.469,-1.15
YJR070C,-2.253,-1.929,-1.0979999999999999,0.18100000000000002,-1.6780000000000002,-1.615,-1.518,-0.865,-0.04,-0.659,0.038,-0.154,-0.11800000000000001,-0.20800000000000002,-0.48,-0.23,-0.51,-0.79,-0.6940000000000001,-0.862,-0.8859999999999999,-0.858,-0.33299999999999996,-0.423,-1.296,-1.308,-1.43,-1.056,-1.079,-1.173,-0.772,-0.848,-0.49,-0.387,0.332,0.149,-0.569,-0.77,-0.46399999999999997,-0.42,-0.20800000000000002,-0.875,-0.56,-1.055,-0.6629999999999999,0.49,0.042,0.037000000000000005,-0.7090000000000001,0.1,0.22399999999999998,-0.611
YMR256C,0.525,0.955,0.48100000000000004,-0.319,-0.065,0.156,-0.405,-0.128,-1.574,-0.8490000000000001,-1.246,-0.722,-0.9470000000000001,-0.77,-1.102,-0.7959999999999999,-1.077,-1.296,-1.589,-1.554,-1.379,-1.703,-0.6920000000000001,-0.366,0.177,0.342,-0.005,-0.19699999999999998,-0.122,0.11599999999999999,-0.23600000000000002,-0.25,0.042,0.158,0.47100000000000003,-0.364,-0.679,-0.124,-0.976,-0.8140000000000001,-1.102,0.39799999999999996,0.146,0.395,0.28,0.124,-0.36,-0.155,0.551,0.057999999999999996,0.055999999999999994,-0.177
YIL116W,0.16699999999999998,-0.244,0.21,0.45399999999999996,1.307,1.012,1.041,1.212,0.08,1.485,1.578,1.311,1.399,1.035,1.62,1.33,1.11,1.58,1.6740000000000002,1.49,0.92,0.925,0.965,0.045,0.11,0.24600000000000002,0.713,0.52,0.63,0.787,-0.19699999999999998,-0.084,1.359,1.6969999999999998,-0.179,-0.402,-0.504,-0.75,0.193,-0.198,0.22399999999999998,1.052,0.742,0.361,0.228,0.4,1.0390000000000001,-0.09699999999999999,0.298,-0.05,0.174,-0.062
YML073C,-2.66,-1.454,-2.1109999999999998,0.594,-0.556,-0.597,-0.305,-0.46299999999999997,-1.295,-0.301,-0.171,-0.139,-0.146,-0.161,-0.22699999999999998,-0.225,-0.27,-0.5589999999999999,-0.434,-0.629,-0.359,-0.81,-0.59,-0.48200000000000004,-0.32899999999999996,-0.39299999999999996,-0.6559999999999999,-0.742,-0.55,-0.054000000000000006,0.003,-0.209,-0.299,-0.168,-0.035,0.057,0.515,0.5429999999999999,-0.493,0.042,0.31,0.16699999999999998,0.425,0.34700000000000003,0.306,0.35100000000000003,0.26899999999999996,-0.11699999999999999,-0.039,-0.28,0.071,0.141
YPR079W,0.9570000000000001,1.199,0.885,-0.21100000000000002,0.305,0.912,0.145,0.322,0.691,0.33,0.564,0.38799999999999996,0.389,0.40299999999999997,0.35,0.138,0.259,0.6829999999999999,0.779,0.843,1.317,0.9570000000000001,0.34600000000000003,0.191,-0.262,-0.76,0.519,0.434,0.6509999999999999,0.408,0.136,-0.134,0.34700000000000003,0.068,0.064,0.24600000000000002,-0.423,-0.41600000000000004,-0.319,-0.015,0.01,0.1,1.565,0.035,0.032,-0.185,0.387,-0.040999999999999995,-0.133,0.092,0.17300000000000001,0.023
YDL125C,1.751,1.074,1.224,0.228,0.228,0.261,-0.132,-0.519,-0.037000000000000005,0.39799999999999996,0.507,0.25,0.306,0.515,0.204,-0.069,0.126,0.222,0.22899999999999998,0.163,0.03,0.141,0.205,-0.13,0.5579999999999999,0.105,-0.06,-0.32899999999999996,-0.325,-0.502,-0.10099999999999999,0.035,-0.645,-0.48200000000000004,0.3,-0.023,-0.28300000000000003,0.304,-0.39799999999999996,-0.501,-0.165,-0.508,-0.11900000000000001,-0.201,-0.138,0.068,0.187,0.966,-0.02,0.214,-0.581,0.059000000000000004
YER054C,0.59,-0.35,-0.21,-0.34,0.6,1.0270000000000001,2.5180000000000002,1.59,0.44,0.2,0.379,0.12,-0.03,0.14300000000000002,-0.09,0.37200000000000005,0.45299999999999996,0.06,0.386,0.4,0.7390000000000001,0.353,-0.105,0.68,0.976,0.20600000000000002,0.42,-0.16,0.29,0.9,0.6,0.33,0.07,-0.518,-0.08,0.13,0.17,0.07,0.141,0.09,0.415,-0.06,-0.05,-0.16,0.048,-0.21,-0.142,0.19,-0.1,0.0,-0.11,-0.081
