title,Javier ratings
4 Little Girls (1997),
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",
40 Days and 40 Nights (2002),
"40-Year-Old Virgin, The (2005)",
"400 Blows, The (Les quatre cents coups) (1959)",
42 (2013),
42 Up (1998),
42nd Street (1933),
47 Ronin (2013),
48 Hrs. (1982),
49 Up (2005),
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),
5 to 7 (2014),
"5,000 Fingers of Dr. T, The (1953)",
50 First Dates (2004),4
50/50 (2011),
52 Pick-Up (1986),
54 (1998),
6 Days to Air: The Making of South Park (2011),
61* (2001),
"6th Day, The (2000)",
"6th Man, The (Sixth Man, The) (1997)",
7 Days in Hell (2015),
7 Faces of Dr. Lao (1964),
"7th Voyage of Sinbad, The (1958)",
8 1/2 (8½) (1963),
8 Heads in a Duffel Bag (1997),
8 Mile (2002),
8 Seconds (1994),
8 Women (2002),
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),
800 Bullets (800 Balas) (2002),
84 Charing Cross Road (1987),
8MM (1999),
9 (2009),
9 1/2 Weeks (Nine 1/2 Weeks) (1986),
9/11 (2002),
96 Minutes (2011) ,
964 Pinocchio (1991),
99 francs (2007),
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),
A Bad Moms Christmas (2017),
A Christmas Story Live! (2017),
A Cosmic Christmas (1977),
A Detective Story (2003),
A Dog's Purpose (2017),
A Flintstones Christmas Carol (1994),
A German Life (2016),
A Home at the End of the World (2004),
A Man Called Blade (1977),
A Man from Boulevard des Capucines (1987),
A Merry Friggin' Christmas (2014),
A Midsummer Night's Dream (2016),
A Million Ways to Die in the West (2014),
A Most Wanted Man (2014),
A Perfect Day (2015),
A Pigeon Sat on a Branch Reflecting on Existence (2014),
A Plasticine Crow (1981),
A Quiet Place (2018),
A Silent Voice (2016),
A Story of Children and Film (2013),
A Street Cat Named Bob (2016),
A Very Murray Christmas (2015),
A Walk in the Woods (2015),
A Wrinkle in Time (2018),
"A-Team, The (2010)",
A.I. Artificial Intelligence (2001),3
"ABCs of Death, The (2012)",
ARQ (2016),
AVP: Alien vs. Predator (2004),
AVPR: Aliens vs. Predator - Requiem (2007),
"Abandoned, The (2006)",
Abbott and Costello Meet Frankenstein (1948),
Abduction (2011),
"Abominable Dr. Phibes, The (1971)",
"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)",
About Adam (2000),
About Last Night (2014),
About Last Night... (1986),
About Schmidt (2002),
About Time (2013),
About a Boy (2002),
Above the Law (1988),
Above the Rim (1994),
Abraham Lincoln: Vampire Hunter (2012),
Absence of Malice (1981),
"Absent-Minded Professor, The (1961)",
Absentia (2011),
Absolute Power (1997),
Absolutely Anything (2015),
"Abyss, The (1989)",2
Accepted (2006),
"Accidental Spy, The (Dak miu mai shing) (2001)",
"Accidental Tourist, The (1988)",
"Accused, The (1988)",
Ace Ventura: Pet Detective (1994),5
Ace Ventura: When Nature Calls (1995),4
"Ace in the Hole (Big Carnival, The) (1951)",
Aces: Iron Eagle III (1992),
"Acid House, The (1998)",
Across the Hall (2009),
Across the Universe (2007),
"Act of Killing, The (2012)",
Act of Valor (2012),
Action Jackson (1988),
Adam and Eve (National Lampoon's Adam & Eve) (2005),
Adam's Apples (Adams æbler) (2005),
Adam's Rib (1949),
Adanggaman (2000),
Adaptation (2002),
Addams Family Reunion (1998),4.5
Addams Family Values (1993),3
"Addams Family, The (1991)",4
Addicted to Love (1997),
"Addiction, The (1995)",
"Adjustment Bureau, The (2011)",
Admission (2013),
Adventureland (2009),
Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),
Adventures in Babysitting (1987),
Adventures in Plymptoons! (2011),
"Adventures of Baron Munchausen, The (1988)",
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",
"Adventures of Elmo in Grouchland, The (1999)",
"Adventures of Ford Fairlane, The (1990)",
"Adventures of Huck Finn, The (1993)",
"Adventures of Ichabod and Mr. Toad, The (1949)",
"Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)",
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",
Adventures of Mowgli: The Kidnapping (1968),
"Adventures of Pinocchio, The (1996)",5
"Adventures of Pluto Nash, The (2002)",
"Adventures of Priscilla, Queen of the Desert, The (1994)",
"Adventures of Robin Hood, The (1938)",
"Adventures of Rocky and Bullwinkle, The (2000)",
"Adventures of Sebastian Cole, The (1998)",
"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",
"Adventures of Tintin, The (2011)",5
Advise and Consent (1962),
Aelita: The Queen of Mars (Aelita) (1924),
Aeon Flux (2005),
"Affair of Love, An (Liaison pornographique, Une) (1999)",
"Affair of the Necklace, The (2001)",
"Affair to Remember, An (1957)",
Afflicted (2013),
Affliction (1997),
Afonya (1975),
Africa: The Serengeti (1994),
African Cats (2011),
"African Queen, The (1951)",
Afro Samurai (2007),
Afro Samurai: Resurrection (2009),
After Earth (2013),
After Hours (1985),
After Life (Wandafuru raifu) (1998),
After the Fox (Caccia alla volpe) (1966),
After the Sunset (2004),
After the Thin Man (1936),
After the Wedding (Efter brylluppet) (2006),
Afterglow (1997),
Against All Odds (1984),
Against the Ropes (2004),
"Age of Innocence, The (1993)",
Agent Cody Banks (2003),
Agent Cody Banks 2: Destination London (2004),
Agnes of God (1985),
"Agony and the Ecstasy, The (1965)",
Agora (2009),
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",
Aileen: Life and Death of a Serial Killer (2003),
Air America (1990),
Air Bud (1997),5
Air Bud: Golden Receiver (1998),
Air Force One (1997),
"Air I Breathe, The (2007)",
"Air Up There, The (1994)",
Airborne (1993),
Airheads (1994),
Airplane II: The Sequel (1982),5
Airplane! (1980),5
Airport '77 (1977),
Airport (1970),
Airport 1975 (1974),
Akeelah and the Bee (2006),
Akira (1988),1
Akira Kurosawa's Dreams (Dreams) (1990),
Aladdin (1992),5
Aladdin and the King of Thieves (1996),4
"Alamo, The (1960)",
Alan Partridge: Alpha Papa (2013),
Alaska (1996),
Alaska: Spirit of the Wild (1997),
Albatross (2011),
Albino Alligator (1996),
Alesha Popovich and Tugarin the Dragon (2004),
Alex Cross (2012),
Alex and Emma (2003),
Alexander (2004),
Alexander Nevsky (Aleksandr Nevskiy) (1938),
Alfie (1966),
Alfie (2004),
Ali (2001),5
Ali G Indahouse (2002),
Ali Wong: Baby Cobra (2016),
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),
Alias Betty (Betty Fisher et autres histoires) (2001),
Alice (1990),
Alice (2009),
Alice (Neco z Alenky) (1988),
Alice Adams (1935),
Alice Doesn't Live Here Anymore (1974),
Alice Through the Looking Glass (2016),
Alice in Wonderland (1933),
Alice in Wonderland (1951),4
Alice in Wonderland (2010),4
Alien (1979),1
Alien Contamination (1980),
Alien Nation (1988),
Alien from L.A. (1988),
Alien: Covenant (2017),
Alien: Resurrection (1997),2
Aliens (1986),1
Alien³ (a.k.a. Alien 3) (1992),1
Alive (1993),
All About Eve (1950),
All About Lily Chou-Chou (Riri Shushu no subete) (2001),
All About My Mother (Todo sobre mi madre) (1999),
All About the Benjamins (2002),
"All Dogs Christmas Carol, An (1998)",
All Dogs Go to Heaven (1989),
All Dogs Go to Heaven 2 (1996),
All Good Things (2010),
All Is Lost (2013),
All Over the Guy (2001),
All Quiet on the Western Front (1930),
All Roads Lead to Rome (2016),
All That Heaven Allows (1955),
All That Jazz (1979),
"All This, and Heaven Too (1940)",
All Watched Over by Machines of Loving Grace (2011),
All Yours (2016),
All is Bright (2013),
All of Me (1984),
All or Nothing (2002),
All the Boys Love Mandy Lane (2006),
All the King's Men (1949),
All the King's Men (2006),
All the President's Men (1976),
All the Pretty Horses (2000),
All the Real Girls (2003),
All the Right Moves (1983),
All the Vermeers in New York (1990),
All-Star Superman (2011),
Allan Quatermain and the Lost City of Gold (1987),
Allegro non troppo (1977),
Alles Inklusive (2014),
Alligator (1980),
"Allnighter, The (1987)",
Almost Famous (2000),
Almost Heroes (1998),
Almost an Angel (1990),
Aloha (2015),
Alone in the Dark (2005),1
Alone in the Dark II (2008),
Along Came Polly (2004),
Along Came a Spider (2001),
Alpha (2018),
Alpha Dog (2007),
Alpha and Omega 3: The Great Wolf Games (2014),
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",
Altered (2006),
Altered States (1980),
Alvarez Kelly (1966),
Alvin and the Chipmunks (2007),4
Alvin and the Chipmunks: Chipwrecked (2011),
Alvin and the Chipmunks: The Squeakquel (2009),
Always (1989),
Always Watching: A Marble Hornets Story (2015),
Amadeus (1984),
Amanda Knox (2016),
Amarcord (1973),
Amateur (1994),
Amazing Grace (2006),
Amazing Grace and Chuck (1987),
"Amazing Panda Adventure, The (1995)",
"Amazing Spider-Man, The (2012)",5
"Amazing Transparent Man, The (1960)",
Amazon Women on the Moon (1987),
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",
Amen. (2002),
Amer (2009),
America's Sweethearts (2001),
"American Astronaut, The (2001)",
American Beauty (1999),
American Buffalo (1996),
"American Carol, An (2008)",
American Dreamz (2006),
American Drug War: The Last White Hope (2007),
American Fable (2017),
American Flyers (1985),
"American Friend, The (Amerikanische Freund, Der) (1977)",
American Gangster (2007),
American Gigolo (1980),
American Graffiti (1973),
American Grindhouse (2010),
American Hardcore (2006),
"American Haunting, An (2005)",
American Heist (2015),
American History X (1998),
American Hustle (2013),
American Made (2017),
American Me (1992),
American Movie (1999),
American Ninja (1985),
American Outlaws (2001),
American Pie (1999),5
American Pie 2 (2001),4
American Pie Presents Beta House (American Pie 6: Beta House) (2007),
American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006),
American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005),
American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009),
American Pop (1981),
"American President, The (1995)",
American Psycho (2000),0.5
American Psycho II: All American Girl (2002),
American Reunion (American Pie 4) (2012),
American Sniper (2014),
American Splendor (2003),
"American Tail, An (1986)",
"American Tail: Fievel Goes West, An (1991)",
American Ultra (2015),
American Wedding (American Pie 3) (2003),
"American Werewolf in London, An (1981)",
"American Werewolf in Paris, An (1997)",
"American in Paris, An (1951)",
"American, The (2010)",
American: The Bill Hicks Story (2009),
"Americanization of Emily, The (1964)",
Americathon (1979),
Amistad (1997),
Amityville 1992: It's About Time (1992),
Amityville 3-D (1983),
"Amityville Curse, The (1990)",
"Amityville Horror, The (1979)",
"Amityville Horror, The (2005)",
Amityville II: The Possession (1982),
Amityville: A New Generation (1993),
Amityville: Dollhouse (1996),
Amores Perros (Love's a Bitch) (2000),
Amos & Andrew (1993),
Amy (2015),
Amy's O (a.k.a. Amy's Orgasm) (2001),
An Amazing Couple (2002),
Anacleto: Agente secreto (2015),
Anaconda (1997),1
Anaconda: The Offspring (2008),
Anacondas: The Hunt for the Blood Orchid (2004),
Analyze That (2002),
Analyze This (1999),
"Anarchist Cookbook, The (2002)",
Anastasia (1956),
Anastasia (1997),4
Anatomy of a Murder (1959),
Anchorman 2: The Legend Continues (2013),
Anchorman: The Legend of Ron Burgundy (2004),
Anchors Aweigh (1945),
And God Created Woman (Et Dieu... créa la femme) (1956),
And Now... Ladies and Gentlemen... (2002),
And So It Goes (2014),
And Starring Pancho Villa as Himself (2003),
And Then There Were None (1945),
And Your Mother Too (Y tu mamá también) (2001),
And the Band Played On (1993),
And the Ship Sails On (E la nave va) (1983),
"Andalusian Dog, An (Chien andalou, Un) (1929)",
Andre (1994),
Andrei Rublev (Andrey Rublyov) (1969),
Andrew Dice Clay: Dice Rules (1991),
Android (1982),
"Andromeda Strain, The (1971)",
Angel Baby (1995),
Angel Eyes (2001),
Angel Heart (1987),
"Angel at My Table, An (1990)",
Angel's Egg (Tenshi no tamago) (1985),
Angel-A (2005),
Angela's Ashes (1999),
Angels & Demons (2009),
Angels and Insects (1995),
Angels in the Outfield (1994),
Angels with Dirty Faces (1938),
"Angels' Share, The (2012)",
Anger Management (2003),
Angie (1994),
"Angriest Man in Brooklyn, The (2014)",
"Angry Red Planet, The (1959)",
Angst  (1983),
Angus (1995),
"Angus, Thongs and Perfect Snogging (2008)",
Animal Crackers (1930),
Animal Factory (2000),
Animal Farm (1954),
Animal House (1978),
"Animal, The (2001)",
Animals are Beautiful People (1974),
"Animatrix, The (2003)",
Anna Christie (1930),
Anna Karenina (1935),
Anna Karenina (1997),
Anna Karenina (2012),
Anna and the King (1999),
Annabelle (2014),1
Annabelle: Creation (2017),0.5
Annapolis (2006),
Anne Frank Remembered (1995),
Anne of Green Gables (1985),
Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),
Anne of the Thousand Days (1969),
Annie (1982),
Annie Get Your Gun (1950),
Annie Hall (1977),
Annihilation (2018),
"Anniversary Party, The (2001)",
Anomalisa (2015),
Another 48 Hrs. (1990),
Another Cinderella Story (2008),
Another Earth (2011),
Another Gay Movie (2006),
Another Stakeout (1993),
Another Thin Man (1939),
Another Woman (1988),
"Ant Bully, The (2006)",
Ant-Man (2015),
Ant-Man and the Wasp (2018),
Anthony Adverse (1936),
Anti-Social (2015),
Antichrist (2009),
Antitrust (2001),
Antonia's Line (Antonia) (1995),
Antonio Gaudí (1985),
Antwone Fisher (2002),
Antz (1998),5
Anvil! The Story of Anvil (2008),
Any Given Sunday (1999),
Any Which Way You Can (1980),
Anything Else (2003),
Anything for Her (Pour elle) (2008),
Anything for Love (2016),
Anywhere But Here (1999),
"Apartment, The (1960)",
"Apartment, The (Appartement, L') (1996)",
Apocalypse Now (1979),
Apocalypto (2006),
Apollo 13 (1995),4
Apollo 18 (2011),
"Apostle, The (1997)",
Appaloosa (2008),
"Apple Dumpling Gang Rides Again, The (1979)",
"Apple Dumpling Gang, The (1975)",
"Apple, The (Sib) (1998)",
Applesauce (2015),
Appleseed (Appurushîdo) (2004),
April Fool's Day (1986),
April Morning (1988),
Apt Pupil (1998),
Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),
Aquamarine (2006),
Arachnophobia (1990),1.5
Ararat (2002),
Are We Done Yet? (2007),
Are We There Yet? (2005),
Are You Scared? (2006),
Argo (2012),
Ari Shaffir: Double Negative (2017),
Ariel (1988),
"Aristocats, The (1970)",5
"Aristocrats, The (2005)",
Arizona Dream (1993),
Arlington Road (1999),
Armageddon (1998),4
Armed and Dangerous (1986),
Armour of God (Long xiong hu di) (1987),
Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991),
Army of Darkness (1993),5
Army of Shadows (L'armée des ombres) (1969),
Around the World in 80 Days (1956),
Around the World in 80 Days (2004),
Arrival (2016),
"Arrival, The (1996)",
Arsenic and Old Lace (1944),
Art School Confidential (2006),
"Art of Getting By, The (2011)",
"Art of War, The (2000)",
"Art of the Steal, The (2009)",
"Art of the Steal, The (2013)",
Artemisia (1997),
Arthur (1981),
Arthur (2011),
Arthur 2: On the Rocks (1988),
Arthur Christmas (2011),
"As Above, So Below (2014)",
As Good as It Gets (1997),
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty (2000),
As You Like It (2006),
"Ascent, The (Voskhozhdeniye) (1977)",
Ashby (2015),
Ashes and Diamonds (Popiól i diament) (1958),
Ashes of Time (Dung che sai duk) (1994),
Ask the Dust (2006),
Aspen Extreme (1993),
"Asphalt Jungle, The (1950)",
"Asphyx, The (1973)",
Assassin's Creed (2016),
Assassination (1987),
Assassination Tango (2002),
"Assassination of Jesse James by the Coward Robert Ford, The (2007)",
"Assassination of Richard Nixon, The (2004)",
Assassination of a High School President (2008),
Assassins (1995),
Assault on Precinct 13 (1976),
Assault on Precinct 13 (2005),
Assembly (Ji jie hao) (2007) ,
"Assignment, The (1997)",
Asterix & Obelix vs. Caesar (Astérix et Obélix contre César) (1999),5
Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté) (2012),
Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) (2002),
Asterix and Cleopatra (Astérix et Cléopâtre) (1968),
Asterix and the Vikings (Astérix et les Vikings) (2006),
Asterix at the Olympic Games (Astérix aux jeux olympiques) (2008),5
Asterix in America (a.k.a Asterix Conquers America) (Astérix et les Indiens) (1994),
Asterix: The Land of the Gods (Astérix: Le domaine des dieux) (2014),
"Astronaut Farmer, The (2007)",
"Astronaut's Wife, The (1999)",
At Close Range (1986),
At First Sight (1999),
At Middleton (2013),
At the Circus (1939),
"Atalante, L' (1934)",
Atlantic City (1980),
Atlantis: The Lost Empire (2001),
Atlas Shrugged: Part 1 (2011),
Atomic Blonde (2017),
"Atomic Brain, The (1963)",
"Atomic Cafe, The (1982)",
"Atomic Submarine, The (1959)",
Atonement (2007),
Atragon (Kaitei Gunkan) (1963),
Attack of the 50 Foot Woman (1958),
Attack of the Crab Monsters (1957),
Attack of the Giant Leeches (1959),
Attack of the Killer Tomatoes! (1978),
Attack of the Puppet People (1958),
Attack the Block (2011),
Attila (Attila Flagello di Dio) (1982),
Au Hasard Balthazar (1966),
Au revoir les enfants (1987),
Audition (Ôdishon) (1999),
Audrey Rose (1977),
August Rush (2007),
Auntie Mame (1958),
Austenland (2013),
Austin Powers in Goldmember (2002),
Austin Powers: International Man of Mystery (1997),5
Austin Powers: The Spy Who Shagged Me (1999),4.5
Australia (2008),
Auto Focus (2002),
Autumn Marathon (1979),
Autumn Sonata (Höstsonaten) (1978),
Autumn Spring (Babí léto) (2001),
"Autumn Tale, An (Conte d'automne) (1998)",
Autumn in New York (2000),
Autómata (Automata) (2014),
Avalanche (1978),
Avalon (1990),
Avalon (2001),
Avanti! (1972),
Avatar (2009),
"Avengers, The (1998)",5
"Avengers, The (2012)",5
Avengers: Age of Ultron (2015),
Avengers: Infinity War - Part I (2018),
"Aviator, The (2004)",
"Avventura, L' (Adventure, The) (1960)",
Awake (2007),
"Awakening, The (1980)",
Awakenings (1990),
Away We Go (2009),
Away from Her (2006),
"Awful Truth, The (1937)",
"Awfully Big Adventure, An (1995)",
Azumi (2003),
B*A*P*S (1997),
B. Monkey (1998),
B/W (2015),
BASEketball (1998),
BMX Bandits (1983),
BURN-E (2008),
Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003),
"Baader Meinhof Komplex, Der (2008)",
Baarìa (2009),
"Babadook, The (2014)",
Babe (1995),4
"Babe, The (1992)",
Babe: Pig in the City (1998),
Babel (2006),
Babes in Toyland (1934),
Babes in Toyland (1961),
Babette's Feast (Babettes gæstebud) (1987),
Baby Boom (1987),
Baby Boy (2001),
Baby Driver (2017),
Baby Geniuses (1999),
Baby Mama (2008),
Baby's Day Out (1994),
"Baby, The (1973)",
"Baby-Sitters Club, The (1995)",
Baby... Secret of the Lost Legend (1985),
Babylon 5,
Babylon 5: A Call to Arms (1999),
Babylon 5: In the Beginning (1998),
Babylon 5: The Gathering (1993),
Babylon 5: The Legend of the Rangers: To Live and Die in Starlight (2002),
Babylon 5: The Lost Tales - Voices in the Dark (2007),
Babylon 5: The River of Souls (1998),
Babylon 5: Thirdspace (1998),
Babylon A.D. (2008),
"Babysitter, The (1995)",
Bachelor Party (1984),
"Bachelor and the Bobby-Soxer, The (1947)",
"Bachelor, The (1999)",
Back to School (1986),
Back to the Beach (1987),
Back to the Future (1985),5
Back to the Future Part II (1989),4.5
Back to the Future Part III (1990),
"Back-up Plan, The (2010)",
Backbeat (1993),
Backdraft (1991),
Bad Asses (Bad Ass 2) (2014),
Bad Asses on the Bayou (2015),
Bad Boy Bubby (1993),
Bad Boys (1995),
Bad Boys II (2003),
Bad Company (1995),
Bad Company (2002),
Bad Day at Black Rock (1955),
Bad Education (La mala educación) (2004),
Bad Girls (1994),
Bad Karma (2012),
Bad Lieutenant (1992),
Bad Lieutenant: Port of Call New Orleans (2009),
Bad Milo (Bad Milo!) (2013),
Bad Moms (2016),
Bad News Bears (2005),
"Bad News Bears, The (1976)",
Bad Santa (2003),
Bad Santa 2 (2016),
"Bad Seed, The (1956)",
Bad Taste (1987),
Bad Teacher (2011),
Bad Words (2013),
"Bad and the Beautiful, The (1952)",
Badlands (1973),
"Bag Man, The (2014)",
Bagdad Cafe (Out of Rosenheim) (1987),
Bait (2000),
Bakuman (2015),
Balance (1989),
"Ballad of Jack and Rose, The (2005)",
"Ballad of Narayama, The (Narayama bushiko) (1983)",
Ballistic: Ecks vs. Sever (2002),
Balls Out: Gary the Tennis Coach (2009),
Balls of Fury (2007),
Balto (1995),
"Bamba, La (1987)",
Bambi (1942),4
Bamboozled (2000),
Banana Joe (1981),
Bananas (1971),
"Band Wagon, The (1953)",
Band of Brothers (2001),
Band of Outsiders (Bande à part) (1964),
Band of the Hand (1986),
"Band's Visit, The (Bikur Ha-Tizmoret) (2007)",
Bandidas (2006),
Bandits (2001),
"Bang, Bang, You're Dead (2002)",
"Banger Sisters, The (2002)",
Bangkok Dangerous (2008),
"Bank Dick, The (1940)",
"Bank Job, The (2008)",
Baraka (1992),
Baran (2001),
Barb Wire (1996),
Barbarella (1968),
"Barbarian Invasions, The (Les invasions barbares) (2003)",
Barbarians at the Gate (1993),
Barbershop (2002),
Barbershop 2: Back in Business (2004),
Barbershop: The Next Cut (2016),
Barcelona (1994),
Barefoot (2014),
"Barefoot Contessa, The (1954)",
"Barefoot Executive, The (1971)",
Barefoot in the Park (1967),
Barely Lethal (2015),
Barfly (1987),
Barking Dogs Never Bite (Flandersui gae) (2000),
Barney's Great Adventure (1998),
Barney's Version (2010),
Barry Lyndon (1975),
Bart Got a Room (2008),
Bartleby (2001),
Barton Fink (1991),
Basic (2003),
Basic Instinct (1992),
Basic Instinct 2 (2006),
Basket Case (1982),
"Basketball Diaries, The (1995)",
Basquiat (1996),
Bastard Out of Carolina (1996),
Bat*21 (1988),
Batman & Robin (1997),5
Batman (1966),
Batman (1989),
Batman Begins (2005),4
Batman Beyond: Return of the Joker (2000),
Batman Forever (1995),
Batman Returns (1992),
Batman v Superman: Dawn of Justice (2016),
Batman vs. Robin (2015),
"Batman/Superman Movie, The (1998)",
Batman: Assault on Arkham (2014),
Batman: Gotham Knight (2008),
Batman: Mask of the Phantasm (1993),
Batman: Mystery of the Batwoman (2003),
"Batman: The Dark Knight Returns, Part 1 (2012)",
"Batman: The Dark Knight Returns, Part 2 (2013)",
Batman: The Killing Joke (2016),
Batman: Under the Red Hood (2010),
Batman: Year One (2011),
Bats (1999),
Battle Beyond the Stars (1980),
"Battle Creek Brawl (Big Brawl, The) (1980)",
Battle For Sevastopol (2015),
Battle Planet (2008),
Battle Royale (Batoru rowaiaru) (2000),
Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003),
Battle for Haditha (2007),
Battle for the Planet of the Apes (1973),
Battle in Seattle (2007),
"Battle of Algiers, The (La battaglia di Algeri) (1966)",
"Battle of Shaker Heights, The (2003)",
Battle: Los Angeles (2011),
Battlefield Earth (2000),
Battles Without Honor & Humanity (Jingi naki tatakai) (1973),
Battleship (2012),
Battleship Potemkin (1925),
Battlestar Galactica (2003),
Battlestar Galactica: Razor (2007),
Battlestar Galactica: The Plan (2009),
Baxter (1989),
"Baxter, The (2005)",
"Bay, The (2012)",
Baywatch (2017),
Be Cool (2005),
Be Kind Rewind (2008),
Beach Blanket Bingo (1965),
"Beach, The (2000)",
Beaches (1988),
Bean (1997),
"Bear, The (Ours, L') (1988)",
"Beast Within, The (1982)",
"Beast of War, The (Beast, The) (1988)",
Beastly (2011),
"Beastmaster, The (1982)",
Beasts of No Nation (2015),
Beasts of the Southern Wild (2012),
Beat Street (1984),
"Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)",
Beat the Devil (1953),
"Beautician and the Beast, The (1997)",
Beautiful (2000),
Beautiful Boy (2010),
Beautiful Creatures (2000),
Beautiful Creatures (2013),
Beautiful Girls (1996),
Beautiful Losers (2008),
"Beautiful Mind, A (2001)",
Beautiful People (1999),
Beautiful Thing (1996),
Beauty Shop (2005),
Beauty and the Beast (1991),4.5
Beauty and the Beast (2017),4
Beauty and the Beast (La belle et la bête) (1946),
Beauty and the Beast: The Enchanted Christmas (1997),
Beauty of the Day (Belle de jour) (1967),
Beavis and Butt-Head Do America (1996),
Bebe's Kids (1992),
Because I Said So (2007),
Because of Winn-Dixie (2005),
Becoming Jane (2007),
Bed of Roses (1996),
Bedazzled (1967),
Bedazzled (2000),
Bedknobs and Broomsticks (1971),
Bedrooms & Hallways (1998),
Bedtime Stories (2008),
Bee Movie (2007),
Beer League (2006),
Beerfest (2006),
Beethoven (1992),4.5
Beethoven's 2nd (1993),
Beetlejuice (1988),5
